point,total_visit_count,positive_visit_count,median_positives_count,median_descent_depth,median_descent_length,median_mean_per_step_decrease,positive_prevalence
LF - 5 - i,1,1,7.0,0.0,1.0,0.0,1.0
LH - 5 - i,1,1,8.0,0.0,1.0,0.0,1.0
RF - 1 - e,1,1,4.0,0.0,1.0,0.0,1.0
RH - 5 - e,1,1,3.0,0.0,1.0,0.0,1.0
