point,total_visit_count,positive_visit_count,median_positives_count,median_descent_depth,median_descent_length,median_mean_per_step_decrease,positive_prevalence
LF - 3 - c,1,0,,,,,0.0
LH - 3 - e,1,1,1.0,0.0,1.0,0.0,1.0
LH - 4 - c,1,1,1.0,0.0,1.0,0.0,1.0
RF - 3 - i,1,1,3.0,0.0,1.0,0.0,1.0
RH - 1 - c,1,0,,,,,0.0
RH - 1 - e,1,1,33.0,0.0,1.0,0.0,1.0
RH - 4 - i,1,0,,,,,0.0
